TRACE STARTED

00:0AEA  39 40  MOVE.W  D0,$C900(A4)             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000008 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=000000D9 D1=00000000 D2=0000FFFF D3=000000DA D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnzvC
00:0AEE  39 43  MOVE.W  D3,$D202(A4)             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000008 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=000000D9 D1=00000000 D2=0000FFFF D3=000000DA D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
00:0AF2  4E 75  RTS                              A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000008 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=000000D9 D1=00000000 D2=0000FFFF D3=000000DA D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
01:AD8E  58 4C  ADDQ.W  #4,A4                    A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000008 A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=000000D9 D1=00000000 D2=0000FFFF D3=000000DA D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
01:AD90  B8 FC  CMPA.W  #$00F0,A4                A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=0000000C A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=000000D9 D1=00000000 D2=0000FFFF D3=000000DA D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
01:AD94  66 D0  BNE     #$D0 [01:AD66]           A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=0000000C A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=000000D9 D1=00000000 D2=0000FFFF D3=000000DA D4=00000000 D5=24690095 D6=000000FF D7=00000000 XNzvC
01:AD66  4A 38  TST.B   ($A39C)                  A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=0000000C A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=000000D9 D1=00000000 D2=0000FFFF D3=000000DA D4=00000000 D5=24690095 D6=000000FF D7=00000000 XNzvC
01:AD6A  6B 10  BMI     #$10 [01:AD7C]           A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=0000000C A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=000000D9 D1=00000000 D2=0000FFFF D3=000000DA D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnZvc
01:AD6C  0C 6C  CMPI.W  #$FFF0,$C900(A4)         A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=0000000C A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=000000D9 D1=00000000 D2=0000FFFF D3=000000DA D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnZvc
01:AD72  66 16  BNE     #$16 [01:AD8A]           A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=0000000C A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=000000D9 D1=00000000 D2=0000FFFF D3=000000DA D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnzvC
01:AD8A  4E B8  JSR     ($0AD6)                  A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=0000000C A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=000000D9 D1=00000000 D2=0000FFFF D3=000000DA D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnzvC
00:0AD6  10 2C  MOVE.B  $CA03(A4),D0             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=0000000C A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=000000D9 D1=00000000 D2=0000FFFF D3=000000DA D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnzvC
00:0ADA  D1 2C  ADD.B   D0,$C902(A4)             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=0000000C A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=00000060 D1=00000000 D2=0000FFFF D3=000000DA D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
00:0ADE  36 2C  MOVE.W  $C900(A4),D3             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=0000000C A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=00000060 D1=00000000 D2=0000FFFF D3=000000DA D4=00000000 D5=24690095 D6=000000FF D7=00000000 xnzvc
00:0AE2  10 2C  MOVE.B  $CA02(A4),D0             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=0000000C A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=00000060 D1=00000000 D2=0000FFFF D3=0000000E D4=00000000 D5=24690095 D6=000000FF D7=00000000 xnzvc
00:0AE6  48 80  EXT.W   D0                       A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=0000000C A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=000000FF D1=00000000 D2=0000FFFF D3=0000000E D4=00000000 D5=24690095 D6=000000FF D7=00000000 xNzvc
00:0AE8  D1 43  ADDX.W  D3,D0                    A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=0000000C A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=0000FFFF D1=00000000 D2=0000FFFF D3=0000000E D4=00000000 D5=24690095 D6=000000FF D7=00000000 xNzvc
00:0AEA  39 40  MOVE.W  D0,$C900(A4)             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=0000000C A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=0000000D D1=00000000 D2=0000FFFF D3=0000000E D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnzvC
00:0AEE  39 43  MOVE.W  D3,$D202(A4)             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=0000000C A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=0000000D D1=00000000 D2=0000FFFF D3=0000000E D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
00:0AF2  4E 75  RTS                              A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=0000000C A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=0000000D D1=00000000 D2=0000FFFF D3=0000000E D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
01:AD8E  58 4C  ADDQ.W  #4,A4                    A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=0000000C A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=0000000D D1=00000000 D2=0000FFFF D3=0000000E D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
01:AD90  B8 FC  CMPA.W  #$00F0,A4                A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000010 A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=0000000D D1=00000000 D2=0000FFFF D3=0000000E D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
01:AD94  66 D0  BNE     #$D0 [01:AD66]           A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000010 A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=0000000D D1=00000000 D2=0000FFFF D3=0000000E D4=00000000 D5=24690095 D6=000000FF D7=00000000 XNzvC
